"state","race","type","all_workers_n","artists_n","artists_share","location_quotient"
"Texas","White","Landscape Architects",6162190,1525,0.000247476952187453,1.01644421155635
"Utah","White","Landscape Architects",1227970,210,0.000171013949852195,0.70239324464844
"Vermont","White","Landscape Architects",319270,85,0.0002662323425314,1.09347687169734
"Virginia","White","Landscape Architects",2778485,655,0.000235739980600939,0.96823779586849
"Washington","White","Landscape Architects",2668545,1035,0.000387851806883526,1.59299571359607
"West Virginia","White","Landscape Architects",734535,105,0.000142947579080643,0.587118267087984
"Wisconsin","White","Landscape Architects",2597700,450,0.000173230165146091,0.711495745657652
"Wyoming","White","Landscape Architects",260685,NA,NA,NA
"Puerto Rico","White","Landscape Architects",13370,0,NA,NA
"Alabama","African-American","Landscape Architects",581200,NA,NA,NA
"Alaska","African-American","Landscape Architects",13760,0,NA,NA
"Arizona","African-American","Landscape Architects",152575,0,NA,NA
"Arkansas","African-American","Landscape Architects",200385,0,NA,NA
"California","African-American","Landscape Architects",1066265,65,6.09604554214947e-05,1.61667004209313
"Colorado","African-American","Landscape Architects",118415,0,NA,NA
"Connecticut","African-American","Landscape Architects",191785,0,NA,NA
"Delaware","African-American","Landscape Architects",105485,0,NA,NA
"District of Columbia","African-American","Landscape Architects",149480,NA,NA,NA
"Florida","African-American","Landscape Architects",1569980,0,NA,NA
"Georgia","African-American","Landscape Architects",1613775,0,NA,NA
"Hawaii","African-American","Landscape Architects",16455,0,NA,NA
"Idaho","African-American","Landscape Architects",5195,0,NA,NA
"Illinois","African-American","Landscape Architects",848255,NA,NA,NA
"Indiana","African-American","Landscape Architects",292355,0,NA,NA
"Iowa","African-American","Landscape Architects",56060,0,NA,NA
"Kansas","African-American","Landscape Architects",83690,0,NA,NA
"Kentucky","African-American","Landscape Architects",176080,0,NA,NA
"Louisiana","African-American","Landscape Architects",656860,0,NA,NA
"Maine","African-American","Landscape Architects",8410,0,NA,NA
"Maryland","African-American","Landscape Architects",957780,120,0.000125289732506421,3.32268116641355
"Massachusetts","African-American","Landscape Architects",260415,0,NA,NA
"Michigan","African-American","Landscape Architects",624375,105,0.000168168168168168,4.4598164110056
"Minnesota","African-American","Landscape Architects",171180,0,NA,NA
"Mississippi","African-American","Landscape Architects",488460,0,NA,NA
"Missouri","African-American","Landscape Architects",340530,0,NA,NA
"Montana","African-American","Landscape Architects",2855,0,NA,NA
"Nebraska","African-American","Landscape Architects",45795,NA,NA,NA
"Nevada","African-American","Landscape Architects",125635,NA,NA,NA
"New Hampshire","African-American","Landscape Architects",9675,0,NA,NA
"New Jersey","African-American","Landscape Architects",584190,NA,NA,NA
"New Mexico","African-American","Landscape Architects",19190,0,NA,NA
"New York","African-American","Landscape Architects",1375735,130,9.44949427033549e-05,2.50600396505495
"North Carolina","African-American","Landscape Architects",1079195,NA,NA,NA
"North Dakota","African-American","Landscape Architects",12445,0,NA,NA
"Ohio","African-American","Landscape Architects",680665,NA,NA,NA
"Oklahoma","African-American","Landscape Architects",134195,0,NA,NA
"Oregon","African-American","Landscape Architects",39020,0,NA,NA
